                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.29332,                0.26294,                0.88468,                0.98263,                      1,                  0.995,                0.94925,                0.35603,                0.18834,                0.79709,             0.00015677,             0.00015677,             0.00015677
                     84,                0.28943,                0.24777,                 0.8782,                0.98225,                      1,                  0.995,                 0.8955,                0.41217,                 0.2095,                0.81282,             0.00014852,             0.00014852,             0.00014852
                     85,                0.28425,                0.24579,                0.87213,                      1,                      1,                  0.995,                0.95775,                0.39114,                0.18839,                0.81435,             0.00014028,             0.00014028,             0.00014028
                     86,                0.29273,                0.25763,                0.87709,                      1,                      1,                  0.995,                  0.995,                0.33294,                0.23023,                0.80335,             0.00013203,             0.00013203,             0.00013203
                     87,                0.28257,                0.25445,                0.87668,                      1,                      1,                  0.995,                0.95775,                0.45483,                0.23572,                0.81909,             0.00012378,             0.00012378,             0.00012378
                     88,                0.27176,                0.23698,                0.86916,                      1,                      1,                  0.995,                  0.995,                0.39582,                0.20695,                0.82483,             0.00011554,             0.00011554,             0.00011554
                     89,                0.26798,                0.23551,                0.87315,                0.98253,                      1,                  0.995,                  0.995,                0.24129,                0.17195,                0.78375,             0.00010729,             0.00010729,             0.00010729
                     90,                0.26795,                 0.2427,                0.87292,                0.98271,                      1,                  0.995,                  0.995,                0.30975,                0.20266,                0.78505,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.23138,                0.19662,                 0.8337,                0.98278,                      1,                  0.995,                0.92344,                0.30402,                0.17931,                0.79382,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.23048,                0.18681,                0.82709,                0.98294,                      1,                  0.995,                0.92875,                0.31897,                0.18776,                0.81702,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.22627,                0.18752,                0.82313,                0.98255,                      1,                  0.995,                  0.995,                0.33016,                0.17144,                0.81296,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.21945,                0.17804,                0.82935,                 0.9832,                      1,                  0.995,                  0.995,                0.29296,                0.18935,                0.79964,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.21145,                0.17762,                0.82918,                0.98292,                      1,                  0.995,                  0.995,                0.35605,                0.16883,                 0.8043,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.21178,                0.17439,                0.82943,                0.98299,                      1,                  0.995,                 0.9535,                0.37046,                0.15494,                 0.8013,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                 0.2073,                0.17226,                0.81932,                 0.9829,                      1,                  0.995,                  0.995,                0.33635,                0.18034,                0.80505,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.20975,                 0.1726,                0.82751,                0.98295,                      1,                  0.995,                  0.995,                0.32816,                 0.1596,                0.80725,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.19928,                0.16422,                0.81329,                0.98283,                      1,                  0.995,                  0.995,                0.32011,                0.17213,                0.79761,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.20254,                 0.1655,                0.82513,                0.98293,                      1,                  0.995,                  0.995,                0.32098,                0.16194,                0.80514,             1.6577e-05,             1.6577e-05,             1.6577e-05
